HEM,STC,VWD,WD,UT,WFR,WTD,HTR
Extraction ,1.794,100,150,2.3,0.92,3.3,44.79
Extraction ,1.794,100,150,2.3,0.92,3.41,45.38
Release ,2.67,110,150,3,1.4,4.3,66.77
Release ,2.67,120,150,3,1.4,4.3,66.77
Extraction ,2.67,110,150,3,1.4,3.11,43.74
Extraction ,2.67,120,150,3,1.4,3.11,43.74
Release ,1.97,100,130,3,1.06,4.13,51.1
Extraction ,1.97,100,130,3,1.064,3.52,43.82
Release ,2.24,150,150,3,1.5,6,69.8
Extraction ,2.24,150,150,3,1.5,3.2,37.2
Release ,1.73,100,150,3,1.15,4.8,60.17
Release ,1.73,100,150,2.3,1.15,5.4,64.38
Extraction ,1.73,100,150,3,1.15,3.1,41.51
Extraction ,1.73,100,150,2.3,1.15,4.2,44.26
Release ,2.11,100,130,3,1.1,4.9,62.7
Release ,2.11,100,130,3,0.9,5.1,53.4
Release ,2.11,100,130,3,0.7,6.1,49.7
Release ,2.11,100,130,3,0.75,5,43.6
Release ,2.11,100,130,3,0.65,5.4,40.8
Release ,2.11,100,130,3,0.55,6.5,41.6
Extraction ,2.11,100,130,3,1.5,4.2,53.7
Release ,3.26,92.5,130,3,1.909,2.16,51.62
Release ,3.26,92.8,130,3,1.889,2.27,53.93
Extraction ,3.26,92.5,130,3,1.829,1.64,37.82
Extraction ,3.26,92.8,130,3,1.801,1.44,32.32
Release ,1.06,57.5,130,2.3,0.872,3.62,63.5
Release ,1.06,58.2,130,3,1.333,2.08,55.25
Extraction ,2.93,100,130,2.3,0.945,4.95,71.67
Extraction ,2.84,100,130,2.3,0.942,5.41,73.89
Release ,2.44,100,130,3,1.26,4.76,69.31
Release ,2.44,100,130,3,1.58,1.7,62.4
Extraction ,2.02,100,130,3,1.26,2.55,46.8
Extraction ,2.02,100,130,3,1.58,1.26,45.7
Release ,1.66,73,130,3,1.15,3.8,59.2
Release ,1.66,43,130,3,1.15,2.5,58.5
