,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,896879,MX,Mexico,,,,,,2020-02-15,6,4,6,4,3,-1
1,896880,MX,Mexico,,,,,,2020-02-16,7,6,7,6,2,-1
2,896881,MX,Mexico,,,,,,2020-02-17,2,4,3,5,11,-2
3,896882,MX,Mexico,,,,,,2020-02-18,0,-1,3,2,9,-2
4,896883,MX,Mexico,,,,,,2020-02-19,0,0,2,3,8,-1
5,896884,MX,Mexico,,,,,,2020-02-20,0,-1,2,3,7,-1
6,896885,MX,Mexico,,,,,,2020-02-21,-2,-2,-1,4,11,-1
7,896886,MX,Mexico,,,,,,2020-02-22,0,0,7,4,4,0
8,896887,MX,Mexico,,,,,,2020-02-23,2,1,8,7,2,-1
9,896888,MX,Mexico,,,,,,2020-02-24,-2,0,6,4,8,-1
10,896889,MX,Mexico,,,,,,2020-02-25,-2,-2,7,2,6,-1
11,896890,MX,Mexico,,,,,,2020-02-26,-3,-1,3,1,6,-1
12,896891,MX,Mexico,,,,,,2020-02-27,1,1,0,2,7,-1
13,896892,MX,Mexico,,,,,,2020-02-28,3,6,3,6,12,-2
14,896893,MX,Mexico,,,,,,2020-02-29,6,8,5,5,6,-1
15,896894,MX,Mexico,,,,,,2020-03-01,6,9,7,7,3,-1
16,896895,MX,Mexico,,,,,,2020-03-02,1,6,2,4,10,-2
17,896896,MX,Mexico,,,,,,2020-03-03,1,3,2,2,9,-2
18,896897,MX,Mexico,,,,,,2020-03-04,1,4,2,3,9,-1
19,896898,MX,Mexico,,,,,,2020-03-05,2,3,3,3,8,-1
20,896899,MX,Mexico,,,,,,2020-03-06,-1,0,0,3,12,-1
21,896900,MX,Mexico,,,,,,2020-03-07,1,2,4,2,6,0
22,896901,MX,Mexico,,,,,,2020-03-08,3,3,10,4,3,0
23,896902,MX,Mexico,,,,,,2020-03-09,-11,-6,-8,-17,-16,7
24,896903,MX,Mexico,,,,,,2020-03-10,-2,0,2,3,9,-2
25,896904,MX,Mexico,,,,,,2020-03-11,-1,2,2,2,8,-1
26,896905,MX,Mexico,,,,,,2020-03-12,1,4,3,3,8,-2
27,896906,MX,Mexico,,,,,,2020-03-13,2,6,3,5,5,-1
28,896907,MX,Mexico,,,,,,2020-03-14,2,10,6,4,3,-1
29,896908,MX,Mexico,,,,,,2020-03-15,0,7,6,-4,1,-1
30,896909,MX,Mexico,,,,,,2020-03-16,-11,5,-7,-30,-54,13
31,896910,MX,Mexico,,,,,,2020-03-17,-7,5,-8,-9,-3,2
32,896911,MX,Mexico,,,,,,2020-03-18,-13,3,-14,-17,-10,6
33,896912,MX,Mexico,,,,,,2020-03-19,-17,1,-16,-22,-14,7
34,896913,MX,Mexico,,,,,,2020-03-20,-23,-3,-22,-26,-14,9
35,896914,MX,Mexico,,,,,,2020-03-21,-31,-7,-32,-29,-7,9
36,896915,MX,Mexico,,,,,,2020-03-22,-37,-13,-37,-33,-10,8
37,896916,MX,Mexico,,,,,,2020-03-23,-31,-14,-30,-37,-29,12
38,896917,MX,Mexico,,,,,,2020-03-24,-35,-16,-33,-41,-34,14
39,896918,MX,Mexico,,,,,,2020-03-25,-37,-16,-36,-44,-36,16
40,896919,MX,Mexico,,,,,,2020-03-26,-37,-17,-36,-46,-37,16
41,896920,MX,Mexico,,,,,,2020-03-27,-39,-17,-37,-47,-34,17
42,896921,MX,Mexico,,,,,,2020-03-28,-40,-14,-39,-43,-18,12
43,896922,MX,Mexico,,,,,,2020-03-29,-45,-19,-46,-47,-20,11
44,896923,MX,Mexico,,,,,,2020-03-30,-35,-15,-36,-47,-38,15
45,896924,MX,Mexico,,,,,,2020-03-31,-35,-15,-37,-48,-41,16
46,896925,MX,Mexico,,,,,,2020-04-01,-37,-13,-39,-50,-44,18
47,896926,MX,Mexico,,,,,,2020-04-02,-47,-12,-41,-52,-46,19
48,896927,MX,Mexico,,,,,,2020-04-03,-56,-11,-43,-52,-43,21
49,896928,MX,Mexico,,,,,,2020-04-04,-57,-11,-46,-48,-27,16
50,896929,MX,Mexico,,,,,,2020-04-05,-62,-19,-52,-51,-27,13
51,896930,MX,Mexico,,,,,,2020-04-06,-54,-15,-41,-54,-49,19
52,896931,MX,Mexico,,,,,,2020-04-07,-53,-18,-42,-56,-52,20
53,896932,MX,Mexico,,,,,,2020-04-08,-52,-13,-42,-55,-53,20
54,896933,MX,Mexico,,,,,,2020-04-09,-58,-16,-46,-62,-64,23
55,896934,MX,Mexico,,,,,,2020-04-10,-71,-30,-57,-72,-72,30
56,896935,MX,Mexico,,,,,,2020-04-11,-66,-26,-54,-63,-49,20
57,896936,MX,Mexico,,,,,,2020-04-12,-65,-29,-58,-57,-31,13
58,896937,MX,Mexico,,,,,,2020-04-13,-54,-20,-45,-56,-49,20
59,896938,MX,Mexico,,,,,,2020-04-14,-54,-19,-44,-57,-50,21
60,896939,MX,Mexico,,,,,,2020-04-15,-51,-13,-44,-56,-50,21
61,896940,MX,Mexico,,,,,,2020-04-16,-51,-15,-45,-57,-51,22
62,896941,MX,Mexico,,,,,,2020-04-17,-55,-18,-47,-58,-47,24
63,896942,MX,Mexico,,,,,,2020-04-18,-59,-23,-51,-55,-29,17
64,896943,MX,Mexico,,,,,,2020-04-19,-62,-28,-56,-56,-26,13
65,896944,MX,Mexico,,,,,,2020-04-20,-55,-25,-47,-57,-47,20
66,896945,MX,Mexico,,,,,,2020-04-21,-58,-28,-50,-60,-50,21
67,896946,MX,Mexico,,,,,,2020-04-22,-58,-27,-51,-60,-50,22
68,896947,MX,Mexico,,,,,,2020-04-23,-59,-28,-52,-61,-51,23
69,896948,MX,Mexico,,,,,,2020-04-24,-61,-28,-53,-62,-47,24
70,896949,MX,Mexico,,,,,,2020-04-25,-62,-27,-55,-58,-31,18
71,896950,MX,Mexico,,,,,,2020-04-26,-65,-31,-60,-59,-28,14
72,896951,MX,Mexico,,,,,,2020-04-27,-58,-28,-51,-60,-48,22
73,896952,MX,Mexico,,,,,,2020-04-28,-58,-28,-50,-61,-50,17
74,896953,MX,Mexico,,,,,,2020-04-29,-55,-21,-49,-60,-50,22
75,896954,MX,Mexico,,,,,,2020-04-30,-47,-10,-45,-57,-49,20
76,896955,MX,Mexico,,,,,,2020-05-01,-61,-22,-54,-67,-63,28
77,896956,MX,Mexico,,,,,,2020-05-02,-59,-21,-52,-57,-33,18
78,896957,MX,Mexico,,,,,,2020-05-03,-63,-28,-58,-58,-25,13
79,896958,MX,Mexico,,,,,,2020-05-04,-54,-22,-47,-59,-47,21
80,896959,MX,Mexico,,,,,,2020-05-05,-56,-25,-50,-61,-51,22
81,896960,MX,Mexico,,,,,,2020-05-06,-56,-23,-49,-61,-49,22
82,896961,MX,Mexico,,,,,,2020-05-07,-56,-22,-50,-62,-50,23
83,896962,MX,Mexico,,,,,,2020-05-08,-57,-22,-51,-61,-46,24
84,896963,MX,Mexico,,,,,,2020-05-09,-56,-17,-51,-56,-28,17
85,896964,MX,Mexico,,,,,,2020-05-10,-59,-24,-56,-57,-14,11
86,896965,MX,Mexico,,,,,,2020-05-11,-57,-26,-50,-60,-47,21
87,896966,MX,Mexico,,,,,,2020-05-12,-55,-25,-48,-60,-48,21
88,896967,MX,Mexico,,,,,,2020-05-13,-55,-23,-48,-61,-48,22
89,896968,MX,Mexico,,,,,,2020-05-14,-53,-20,-48,-60,-48,22
90,896969,MX,Mexico,,,,,,2020-05-15,-53,-16,-46,-58,-44,23
91,896970,MX,Mexico,,,,,,2020-05-16,-55,-16,-49,-53,-26,16
92,896971,MX,Mexico,,,,,,2020-05-17,-60,-24,-55,-56,-20,13
93,896972,MX,Mexico,,,,,,2020-05-18,-52,-19,-46,-57,-44,20
94,896973,MX,Mexico,,,,,,2020-05-19,-53,-21,-45,-58,-46,21
95,896974,MX,Mexico,,,,,,2020-05-20,-53,-19,-45,-58,-46,21
96,896975,MX,Mexico,,,,,,2020-05-21,-54,-20,-46,-58,-47,22
97,896976,MX,Mexico,,,,,,2020-05-22,-56,-20,-47,-58,-42,22
98,896977,MX,Mexico,,,,,,2020-05-23,-56,-18,-49,-53,-22,16
99,896978,MX,Mexico,,,,,,2020-05-24,-60,-24,-53,-55,-18,13
100,896979,MX,Mexico,,,,,,2020-05-25,-53,-19,-44,-56,-43,20
101,896980,MX,Mexico,,,,,,2020-05-26,-54,-22,-45,-58,-44,20
102,896981,MX,Mexico,,,,,,2020-05-27,-54,-22,-46,-59,-44,21
103,896982,MX,Mexico,,,,,,2020-05-28,-53,-19,-46,-58,-44,21
104,896983,MX,Mexico,,,,,,2020-05-29,-52,-14,-45,-56,-40,22
105,896984,MX,Mexico,,,,,,2020-05-30,-53,-12,-46,-50,-17,14
106,896985,MX,Mexico,,,,,,2020-05-31,-57,-19,-52,-52,-11,12
107,896986,MX,Mexico,,,,,,2020-06-01,-48,-13,-43,-52,-38,18
108,896987,MX,Mexico,,,,,,2020-06-02,-50,-17,-43,-54,-41,19
109,896988,MX,Mexico,,,,,,2020-06-03,-50,-17,-43,-54,-41,19
110,896989,MX,Mexico,,,,,,2020-06-04,-50,-17,-44,-55,-41,20
111,896990,MX,Mexico,,,,,,2020-06-05,-52,-16,-45,-55,-37,21
112,896991,MX,Mexico,,,,,,2020-06-06,-52,-14,-46,-49,-16,14
113,896992,MX,Mexico,,,,,,2020-06-07,-56,-21,-50,-51,-10,11
114,896993,MX,Mexico,,,,,,2020-06-08,-50,-18,-43,-53,-37,18
115,896994,MX,Mexico,,,,,,2020-06-09,-50,-20,-44,-55,-39,18
116,896995,MX,Mexico,,,,,,2020-06-10,-48,-16,-42,-54,-39,18
117,896996,MX,Mexico,,,,,,2020-06-11,-48,-16,-43,-54,-40,19
118,896997,MX,Mexico,,,,,,2020-06-12,-48,-13,-42,-53,-35,19
119,896998,MX,Mexico,,,,,,2020-06-13,-48,-10,-41,-47,-12,13
120,896999,MX,Mexico,,,,,,2020-06-14,-52,-17,-46,-49,-6,11
121,897000,MX,Mexico,,,,,,2020-06-15,-43,-9,-36,-49,-35,16
122,897001,MX,Mexico,,,,,,2020-06-16,-42,-11,-36,-50,-37,17
123,897002,MX,Mexico,,,,,,2020-06-17,-43,-11,-37,-51,-38,18
124,897003,MX,Mexico,,,,,,2020-06-18,-44,-13,-38,-51,-39,18
125,897004,MX,Mexico,,,,,,2020-06-19,-46,-11,-38,-50,-34,17
126,897005,MX,Mexico,,,,,,2020-06-20,-45,-7,-39,-44,-11,12
127,897006,MX,Mexico,,,,,,2020-06-21,-50,-14,-46,-47,4,8
128,897007,MX,Mexico,,,,,,2020-06-22,-46,-17,-40,-51,-38,17
129,897008,MX,Mexico,,,,,,2020-06-23,-46,-18,-39,-52,-39,17
130,897009,MX,Mexico,,,,,,2020-06-24,-45,-15,-40,-51,-38,18
131,897010,MX,Mexico,,,,,,2020-06-25,-45,-15,-40,-52,-39,18
132,897011,MX,Mexico,,,,,,2020-06-26,-47,-13,-40,-51,-34,19
133,897012,MX,Mexico,,,,,,2020-06-27,-47,-11,-39,-44,-12,12
134,897013,MX,Mexico,,,,,,2020-06-28,-50,-17,-43,-46,-4,10
135,897014,MX,Mexico,,,,,,2020-06-29,-42,-12,-37,-48,-35,16
136,897015,MX,Mexico,,,,,,2020-06-30,-37,-7,-35,-48,-37,15
137,897016,MX,Mexico,,,,,,2020-07-01,-38,-6,-36,-47,-37,16
138,897017,MX,Mexico,,,,,,2020-07-02,-39,-7,-36,-47,-38,16
139,897018,MX,Mexico,,,,,,2020-07-03,-42,-8,-37,-47,-34,17
140,897019,MX,Mexico,,,,,,2020-07-04,-45,-10,-39,-43,-12,12
141,897020,MX,Mexico,,,,,,2020-07-05,-49,-17,-44,-44,-6,9
142,897021,MX,Mexico,,,,,,2020-07-06,-40,-11,-36,-46,-36,15
143,897022,MX,Mexico,,,,,,2020-07-07,-40,-13,-36,-48,-38,16
144,897023,MX,Mexico,,,,,,2020-07-08,-41,-13,-38,-48,-38,16
145,897024,MX,Mexico,,,,,,2020-07-09,-41,-14,-38,-48,-38,17
146,897025,MX,Mexico,,,,,,2020-07-10,-42,-11,-37,-47,-34,17
147,897026,MX,Mexico,,,,,,2020-07-11,-44,-11,-39,-41,-11,12
148,897027,MX,Mexico,,,,,,2020-07-12,-48,-18,-43,-43,-6,9
149,897028,MX,Mexico,,,,,,2020-07-13,-40,-12,-35,-46,-36,15
150,897029,MX,Mexico,,,,,,2020-07-14,-37,-12,-35,-47,-38,15
151,897030,MX,Mexico,,,,,,2020-07-15,-34,-5,-34,-45,-37,15
152,897031,MX,Mexico,,,,,,2020-07-16,-34,-6,-34,-45,-37,15
153,897032,MX,Mexico,,,,,,2020-07-17,-39,-8,-36,-45,-33,16
154,897033,MX,Mexico,,,,,,2020-07-18,-41,-9,-38,-39,-11,11
155,897034,MX,Mexico,,,,,,2020-07-19,-44,-15,-41,-41,-5,9
156,897035,MX,Mexico,,,,,,2020-07-20,-37,-11,-36,-45,-36,15
157,897036,MX,Mexico,,,,,,2020-07-21,-37,-13,-35,-46,-38,15
158,897037,MX,Mexico,,,,,,2020-07-22,-38,-12,-36,-46,-37,16
159,897038,MX,Mexico,,,,,,2020-07-23,-38,-12,-36,-46,-37,16
160,897039,MX,Mexico,,,,,,2020-07-24,-41,-12,-37,-46,-33,17
161,897040,MX,Mexico,,,,,,2020-07-25,-42,-11,-37,-40,-12,11
162,897041,MX,Mexico,,,,,,2020-07-26,-47,-20,-43,-43,-8,10
163,897042,MX,Mexico,,,,,,2020-07-27,-41,-15,-38,-47,-39,16
164,897043,MX,Mexico,,,,,,2020-07-28,-38,-15,-37,-46,-38,16
165,897044,MX,Mexico,,,,,,2020-07-29,-36,-12,-37,-46,-38,16
166,897045,MX,Mexico,,,,,,2020-07-30,-32,-9,-35,-45,-38,15
167,897046,MX,Mexico,,,,,,2020-07-31,-34,-7,-36,-43,-33,16
168,897047,MX,Mexico,,,,,,2020-08-01,-35,-5,-35,-36,-11,10
169,897048,MX,Mexico,,,,,,2020-08-02,-39,-12,-39,-38,-5,8
170,897049,MX,Mexico,,,,,,2020-08-03,-32,-8,-34,-42,-35,14
171,897050,MX,Mexico,,,,,,2020-08-04,-32,-10,-33,-43,-37,14
172,897051,MX,Mexico,,,,,,2020-08-05,-31,-8,-32,-43,-36,15
173,897052,MX,Mexico,,,,,,2020-08-06,-32,-10,-33,-44,-37,15
174,897053,MX,Mexico,,,,,,2020-08-07,-34,-10,-34,-43,-33,15
175,897054,MX,Mexico,,,,,,2020-08-08,-36,-10,-35,-38,-11,10
176,897055,MX,Mexico,,,,,,2020-08-09,-39,-15,-39,-39,-6,8
177,897056,MX,Mexico,,,,,,2020-08-10,-32,-12,-34,-42,-34,14
178,897057,MX,Mexico,,,,,,2020-08-11,-32,-13,-33,-43,-37,14
179,897058,MX,Mexico,,,,,,2020-08-12,-32,-12,-33,-44,-36,15
180,897059,MX,Mexico,,,,,,2020-08-13,-31,-10,-32,-43,-36,14
181,897060,MX,Mexico,,,,,,2020-08-14,-31,-7,-33,-41,-32,14
182,897061,MX,Mexico,,,,,,2020-08-15,-31,-3,-31,-33,-10,8
183,897062,MX,Mexico,,,,,,2020-08-16,-33,-9,-34,-33,-4,6
184,897063,MX,Mexico,,,,,,2020-08-17,-29,-8,-31,-40,-34,13
185,897064,MX,Mexico,,,,,,2020-08-18,-28,-9,-29,-42,-34,13
186,897065,MX,Mexico,,,,,,2020-08-19,-28,-9,-28,-41,-35,14
187,897066,MX,Mexico,,,,,,2020-08-20,-27,-9,-27,-41,-35,14
188,897067,MX,Mexico,,,,,,2020-08-21,-30,-7,-26,-40,-31,14
189,897068,MX,Mexico,,,,,,2020-08-22,-30,-6,-25,-34,-9,8
190,897069,MX,Mexico,,,,,,2020-08-23,-32,-10,-30,-34,-3,7
191,897070,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-15,7,6,6,-14,4,-2
192,897071,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-16,9,7,5,1,1,-1
193,897072,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-17,1,2,0,-5,12,-2
194,897073,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-18,0,-3,3,-4,10,-2
195,897074,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-19,-1,-2,-2,-2,9,-1
196,897075,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-20,-1,-2,2,0,9,-2
197,897076,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-21,-2,-1,1,-8,11,-2
198,897077,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-22,0,1,4,-16,4,-1
199,897078,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-23,0,1,3,-6,0,-1
200,897079,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-24,-4,-3,-2,-4,13,-2
201,897080,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-25,-4,-6,-1,-7,10,-2
202,897081,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-26,-7,-5,1,-4,10,-1
203,897082,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-27,0,0,9,0,10,-2
204,897083,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-28,1,9,20,-7,10,-2
205,897084,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-02-29,10,13,39,-12,6,-2
206,897085,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-01,9,10,18,-2,2,-2
207,897086,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-02,0,5,1,-7,13,-2
208,897087,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-03,-1,-1,-1,-11,10,-1
209,897088,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-04,-1,1,-4,-6,10,-1
210,897089,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-05,0,1,2,-5,10,-2
211,897090,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-06,-5,0,-1,-10,13,-2
212,897091,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-07,1,2,7,-18,6,-1
213,897092,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-08,7,2,9,-10,3,-1
214,897093,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-09,-12,-10,-11,-10,-13,6
215,897094,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-10,-2,-2,2,-2,9,-2
216,897095,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-11,-1,-1,-1,1,9,-1
217,897096,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-12,1,2,6,3,8,-2
218,897097,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-13,1,9,0,8,3,-1
219,897098,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-14,4,13,7,-4,2,-2
220,897099,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-15,-2,8,-3,-21,-1,-2
221,897100,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-16,-13,5,-12,10,-61,15
222,897101,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-17,-8,3,-6,1,-3,3
223,897102,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-18,-17,2,-16,-14,-10,7
224,897103,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-19,-24,1,-14,-21,-15,8
225,897104,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-20,-34,-1,-20,-35,-16,11
226,897105,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-21,-37,-5,-21,-42,-9,10
227,897106,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-22,-46,-16,-28,-50,-15,9
228,897107,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-23,-36,-16,-27,-42,-28,13
229,897108,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-24,-39,-18,-29,-43,-33,15
230,897109,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-25,-42,-18,-35,-48,-36,17
231,897110,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-26,-42,-16,-31,-49,-38,18
232,897111,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-27,-45,-12,-31,-55,-37,20
233,897112,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-28,-43,-10,-28,-57,-21,14
234,897113,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-29,-51,-19,-37,-62,-24,12
235,897114,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-30,-40,-17,-34,-55,-41,18
236,897115,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-03-31,-40,-18,-36,-53,-44,19
237,897116,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-01,-43,-16,-38,-53,-46,21
238,897117,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-02,-50,-12,-35,-55,-49,22
239,897118,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-03,-60,-6,-35,-61,-47,24
240,897119,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-04,-59,-6,-32,-61,-29,16
241,897120,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-05,-66,-18,-40,-68,-29,14
242,897121,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-06,-56,-12,-32,-60,-51,21
243,897122,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-07,-55,-12,-30,-59,-53,22
244,897123,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-08,-53,-4,-33,-54,-53,22
245,897124,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-09,-62,-6,-35,-60,-66,25
246,897125,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-10,-79,-27,-53,-77,-77,31
247,897126,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-11,-66,-17,-38,-74,-49,19
248,897127,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-12,-68,-23,-46,-70,-31,14
249,897128,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-13,-55,-11,-33,-60,-48,21
250,897129,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-14,-53,-10,-31,-61,-50,22
251,897130,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-15,-51,-2,-32,-57,-50,22
252,897131,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-16,-51,-6,-32,-60,-50,22
253,897132,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-17,-54,-7,-32,-66,-47,24
254,897133,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-18,-58,-17,-32,-67,-27,15
255,897134,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-19,-64,-26,-42,-70,-24,13
256,897135,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-20,-55,-22,-35,-63,-47,21
257,897136,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-21,-57,-26,-41,-63,-50,22
258,897137,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-22,-58,-25,-44,-65,-50,23
259,897138,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-23,-59,-24,-41,-65,-50,23
260,897139,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-24,-61,-22,-42,-70,-47,25
261,897140,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-25,-60,-21,-39,-69,-29,16
262,897141,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-26,-67,-30,-49,-74,-26,13
263,897142,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-27,-57,-26,-41,-65,-48,22
264,897143,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-28,-56,-24,-38,-64,-50,17
265,897144,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-29,-54,-18,-40,-61,-49,23
266,897145,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-04-30,-47,-5,-37,-57,-48,20
267,897146,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-01,-64,-17,-43,-71,-66,29
268,897147,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-02,-58,-16,-36,-70,-32,16
269,897148,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-03,-65,-28,-46,-71,-22,13
270,897149,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-04,-53,-20,-40,-64,-46,21
271,897150,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-05,-53,-21,-39,-62,-49,22
272,897151,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-06,-54,-19,-41,-61,-48,22
273,897152,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-07,-54,-17,-37,-60,-48,22
274,897153,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-08,-56,-16,-41,-68,-45,25
275,897154,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-09,-52,-5,-28,-66,-23,14
276,897155,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-10,-58,-15,-38,-72,-4,7
277,897156,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-11,-54,-21,-37,-63,-45,20
278,897157,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-12,-52,-21,-37,-61,-46,21
279,897158,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-13,-50,-18,-37,-62,-46,22
280,897159,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-14,-48,-12,-32,-59,-46,21
281,897160,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-15,-48,-5,-29,-65,-42,21
282,897161,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-16,-49,-6,-27,-66,-21,13
283,897162,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-17,-58,-17,-37,-67,-13,11
284,897163,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-18,-47,-14,-30,-62,-41,19
285,897164,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-19,-48,-17,-29,-59,-43,20
286,897165,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-20,-48,-14,-32,-58,-43,21
287,897166,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-21,-48,-13,-30,-59,-43,21
288,897167,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-22,-50,-11,-29,-64,-38,21
289,897168,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-23,-49,-8,-24,-66,-16,12
290,897169,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-24,-56,-17,-29,-65,-9,10
291,897170,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-25,-47,-16,-29,-59,-38,18
292,897171,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-26,-47,-18,-32,-55,-38,18
293,897172,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-27,-47,-16,-33,-58,-38,19
294,897173,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-28,-46,-13,-28,-55,-38,19
295,897174,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-29,-45,-3,-28,-58,-34,19
296,897175,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-30,-43,-2,-23,-62,-10,10
297,897176,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-05-31,-50,-9,-24,-60,1,8
298,897177,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-06-01,-41,-8,-27,-53,-30,15
299,897178,MX,Mexico,Aguascalientes,,,MX-AGU,,2020-06-02,-42,-14,-28,-53,-33,16
